id,name,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,review_scores_value,calculated_host_listings_count
1016855,FURNISHED Sheung Wan FLATSHARE,4584648,Ivy,within a few hours,0.92,0.18,Central & Western,22.28665,114.15054,Private room,1,180,30,2,2016/7/3,0.02,365,3,384
1019390,A room in hip creative Sheung Wan,2014297,Cheryl,within a day,0.6,,Central & Western,22.28589,114.15149,Private room,1,600,1,66,2019/5/5,0.58,365,4.63,1
1022377,Lovely Quiet Apartment With Rooftop,3905388,Janet,within an hour,1,0.95,Islands,22.24152,113.97984,Entire home/apt,3,707,2,189,2022/9/5,1.79,63,4.56,1
1033352,Room in Wan Chai,4584648,Ivy,within a few hours,0.92,0.18,Wan Chai,22.27904,114.18033,Private room,1,180,30,1,2014/1/4,0.01,365,5,384
1033353,Sai Ying Poon Room in flatshare,4584648,Ivy,within a few hours,0.92,0.18,Wan Chai,22.27761,114.17335,Private room,1,180,31,1,2015/8/3,0.01,365,3,384
1046393,Wanchai - Room available,4584648,Ivy,within a few hours,0.92,0.18,Wan Chai,22.27841,114.17121,Private room,2,180,30,0,,,365,,384
1072782,Nice and Big room in Fortress Hill,4584648,Ivy,within a few hours,0.92,0.18,Eastern,22.28905,114.19639,Private room,1,180,30,0,,,365,,384
1108132,SOHO'S URBAN CHIC DESIGNERS APT,6084316,Lulu,within an hour,1,1,Central & Western,22.28071,114.15381,Entire home/apt,2,690,1,463,2022/9/5,4.06,334,4.62,1
1145659,CWB Room,4584648,Ivy,within a few hours,0.92,0.18,Wan Chai,22.27655,114.18077,Private room,1,180,29,0,,,364,,384
1149076,A beautiful Flat in Central - Caine road (ML23b),4584648,Ivy,within a few hours,0.92,0.18,Central & Western,22.28033,114.15311,Private room,1,180,30,1,2014/2/1,0.01,365,5,384
1149104,++Welcome for short term rent ++,4584648,Ivy,within a few hours,0.92,0.18,Yau Tsim Mong,22.29925,114.17537,Private room,1,180,60,0,,,365,,384
1149202,Tsimshatsui Room in Flat Share (T5b),4584648,Ivy,within a few hours,0.92,0.18,Yau Tsim Mong,22.29734,114.17478,Private room,1,180,30,0,,,0,,384
1149491,Fully furnished apartment,4584648,Ivy,within a few hours,0.92,0.18,Eastern,22.2884,114.199,Private room,1,180,29,2,2015/11/26,0.02,0,5,384
1164099,"Near with SOHO, for Long/Short term",4584648,Ivy,within a few hours,0.92,0.18,Central & Western,22.28082,114.15233,Private room,1,180,30,0,,,259,,384
1165573,Mid-level 1br/1ba by escalator,4258815,Faye,within an hour,1,0.98,Central & Western,22.28122,114.15135,Entire home/apt,2,942,3,133,2022/9/3,1.18,43,4.44,1
1171633,Near MTR Welcome for short/longterm,4584648,Ivy,within a few hours,0.92,0.18,Central & Western,22.28528,114.15186,Private room,1,180,31,2,2015/8/16,0.02,365,2,384
1182474,"Kowloon Mongkok 1812 Twin Room A, near station",6361579,Man Ching Athena,,,1,Yau Tsim Mong,22.31585,114.16888,Private room,2,310,2,101,2019/12/12,1.02,0,4.82,12
1187498,Nice room in Sheung Wan,4584648,Ivy,within a few hours,0.92,0.18,Central & Western,22.28564,114.14785,Private room,1,180,30,2,2013/9/14,0.02,365,3,384
1187557,The cheaper room! Near with HKU!!!!,4584648,Ivy,within a few hours,0.92,0.18,Central & Western,22.2845,114.12888,Private room,1,180,30,0,,,364,,384
1187738,Furnished Studio in western HK,4584648,Ivy,within a few hours,0.92,0.18,Sham Shui Po,22.33247,114.16271,Private room,2,217,30,0,,,365,,384
1187739,Bright room Welcome for short term!,4584648,Ivy,within a few hours,0.92,0.18,Sham Shui Po,22.3323,114.16243,Private room,1,180,30,0,,,365,,384
1187770,ROOFTOP room ( SUPER close to MTR),4584648,Ivy,within a few hours,0.92,0.18,Yau Tsim Mong,22.31447,114.17082,Private room,1,180,29,0,,,364,,384
1226450,Flat share in Sheung Wan,4584648,Ivy,within a few hours,0.92,0.18,Central & Western,22.28796,114.14945,Private room,1,180,31,1,2016/2/28,0.01,364,3,384
1229848,"Cool Stanley Surf Flat, big rftp summer mth discnt",6708889,Marcos,within a day,1,0.74,Southern,22.21892,114.21369,Entire home/apt,4,1000,30,30,2019/6/8,0.28,280,4.23,2
1312023,Flat share room in Yau Ma Tei,4584648,Ivy,within a few hours,0.92,0.18,Yau Tsim Mong,22.31214,114.17227,Private room,1,620,30,0,,,365,,384
1345297,Modern Studio in Central/Soho!,5056201,Joyce,within a day,0.74,0.7,Central & Western,22.28251,114.15107,Entire home/apt,2,780,28,1,2014/5/1,0.01,350,5,3
1476913,Neat Cozy Studio for 1-3 @ Wan Chai,2716535,Jade,within a day,0.5,0,Wan Chai,22.27834,114.17437,Entire home/apt,3,564,2,9,2016/5/4,0.08,179,4,2
1534018,Old Hong Kong charm,8178525,Lesley,a few days or more,0.43,0,Central & Western,22.28611,114.13637,Private room,1,750,3,1,2014/8/18,0.01,271,3,1
1623311,Spacious homey 1BR in Central SoHo Area,8632157,Sara,,,,Central & Western,22.28115,114.15348,Entire home/apt,2,800,7,7,2015/12/28,0.06,0,4.83,1
1643979,3BedR + 3BathR @ Hennessy Road 10/F 580SF,1375696,C S,within an hour,1,0.93,Wan Chai,22.27814,114.1701,Entire home/apt,7,2339,7,26,2022/1/4,0.24,83,4.4,5
1708543,Spacious studio in heart of SoHo,7456732,Patrick,,,,Central & Western,22.28203,114.15223,Entire home/apt,2,960,2,8,2017/6/12,0.07,0,4.67,1
1745925,walk 30sec to Yau Ma Tei MTR Rm10,3704487,Daniel,,,,Yau Tsim Mong,22.31467,114.16983,Private room,2,2000,1,127,2017/12/16,1.18,0,4.66,3
1749208,walk 30sec to Yau Ma Tei MTR Rm11,3704487,Daniel,,,,Yau Tsim Mong,22.31248,114.16904,Private room,2,1286,1,77,2017/1/18,0.72,0,4.63,3
1752310,"Modern Large Studio , Heart of city",808933,J,within an hour,1,1,Wan Chai,22.27547,114.17369,Entire home/apt,2,665,3,132,2022/8/19,1.22,284,4.61,3
